take a possible walk in the garden with 64 steps
0;1
1;4
2;9
3;13
4;23
5;30
6;44
7;55
8;73
9;88
10;110
11;124
12;149
13;170
14;200
15;221
16;256
17;282
18;318
19;352
20;388
21;424
22;466
23;503
24;554
25;594
26;647
27;688
28;741
29;792
30;845
31;904
32;958
33;1020
34;1074
35;1149
36;1205
37;1280
38;1332
39;1413
40;1469
41;1555
42;1621
43;1699
44;1773
45;1850
46;1940
47;2014
48;2104
49;2183
50;2268
51;2356
52;2442
53;2537
54;2631
55;2733
56;2832
57;2937
58;3034
59;3138
60;3245
61;3352
62;3488
63;3605
I could reach 3751 different pots!
lets see, where a really long walk will can take us
0;1
1;4
2;9
3;13
4;23
5;30
6;44
7;55
8;73
9;88
10;110
11;124
12;149
13;170
14;200
15;221
16;256
17;282
18;318
19;352
20;388
21;424
22;466
23;503
24;554
25;594
26;647
27;688
28;741
29;792
30;845
31;904
32;958
33;1020
34;1074
35;1149
36;1205
37;1280
38;1332
39;1413
40;1469
41;1555
42;1621
43;1699
44;1773
45;1850
46;1940
47;2014
48;2104
49;2183
50;2268
51;2356
52;2442
53;2537
54;2631
55;2733
56;2832
57;2937
58;3034
59;3138
60;3245
61;3352
62;3488
63;3605
64;3751
65;3867
66;4015
67;4135
68;4287
69;4379
70;4524
71;4631
72;4776
73;4884
74;5034
75;5144
76;5295
77;5410
78;5567
79;5691
80;5847
81;5977
82;6131
83;6270
84;6417
85;6566
86;6728
87;6858
88;7025
89;7171
90;7327
91;7486
92;7645
93;7814
94;7968
95;8139
96;8294
97;8490
98;8642
99;8845
100;8993
101;9201
102;9352
103;9555
104;9717
105;9920
106;10092
107;10297
108;10458
109;10676
110;10850
111;11068
112;11249
113;11454
114;11657
115;11855
116;12087
117;12268
118;12502
119;12693
120;12919
121;13117
122;13345
123;13554
124;13779
125;13984
126;14227
127;14444
128;14678
129;14894
130;15122
131;15353
132;15582
133;15823
134;16048
135;16304
136;16528
137;16780
138;17010
139;17264
140;17507
141;17780
142;17999
143;18279
144;18500
145;18797
146;19029
147;19313
148;19564
149;19824
150;20102
151;20347
152;20645
153;20894
154;21173
155;21434
156;21724
157;21994
158;22281
159;22536
160;22842
161;23103
162;23418
163;23677
164;24004
165;24268
166;24591
167;24851
168;25174
169;25429
170;25756
171;26020
172;26340
173;26639
174;26925
175;27233
176;27532
177;27864
178;28146
179;28476
180;28768
181;29088
182;29389
183;29723
184;30034
185;30378
186;30688
187;31036
188;31355
189;31690
190;32009
191;32367
192;32681
193;33101
194;33460
195;33904
196;34253
197;34693
198;35045
199;35489
200;35781
201;36177
202;36490
203;36879
204;37195
205;37596
206;37919
207;38314
208;38638
209;39036
210;39372
211;39771
212;40112
213;40510
214;40864
215;41244
216;41615
217;42023
218;42357
219;42760
