0;1;1
1;2;1
2;4;2
3;6;2
4;9;3
5;13;4
6;16;3
7;22;6
8;30;8
9;41;11
10;50;9
11;63;13
12;74;11
13;89;15
14;99;10
15;115;16
16;129;14
17;145;16
18;165;20
19;192;27
20;216;24
21;234;18
22;261;27
23;294;33
24;326;32
25;353;27
26;395;42
27;427;32
28;460;33
29;491;31
30;537;46
31;574;37
32;605;31
33;644;39
34;689;45
35;740;51
36;784;44
37;846;62
38;894;48
39;944;50
40;989;45
41;1053;64
42;1107;54
43;1146;39
44;1196;50
45;1256;60
46;1324;68
47;1383;59
48;1464;81
49;1528;64
50;1594;66
51;1653;59
52;1735;82
53;1805;70
54;1853;48
55;1914;61
56;1988;74
57;2072;84
58;2145;73
59;2244;99
60;2324;80
61;2406;82
62;2479;73
63;2579;100
64;2665;86
65;2722;57
66;2794;72
67;2882;88
68;2982;100
69;3069;87
70;3186;117
71;3282;96
72;3380;98
73;3467;87
74;3585;118
75;3687;102
76;3753;66
77;3836;83
78;3938;102
79;4054;116
80;4155;101
81;4290;135
82;4402;112
83;4516;114
84;4617;101
85;4753;136
86;4871;118
87;4946;75
88;5040;94
89;5156;116
90;5288;132
91;5403;115
92;5556;153
93;5684;128
94;5814;130
95;5929;115
96;6083;154
97;6217;134
98;6301;84
99;6406;105
100;6536;130
101;6684;148
102;6813;129
103;6984;171
104;7128;144
105;7274;146
106;7403;129
107;7575;172
108;7725;150
109;7818;93
110;7934;116
111;8078;144
112;8242;164
113;8385;143
114;8574;189
115;8734;160
116;8896;162
117;9039;143
118;9229;190
119;9395;166
120;9497;102
121;9624;127
122;9782;158
123;9962;180
124;10119;157
125;10326;207
126;10502;176
127;10680;178
128;10837;157
129;11045;208
130;11227;182
131;11338;111
132;11476;138
133;11648;172
134;11844;196
135;12015;171
136;12240;225
137;12432;192
138;12626;194
139;12797;171
140;13023;226
141;13221;198
142;13341;120
143;13490;149
144;13676;186
145;13888;212
146;14073;185
147;14316;243
148;14524;208
149;14734;210
150;14919;185
151;15163;244
152;15377;214
153;15506;129
154;15666;160
155;15866;200
156;16094;228
157;16293;199
158;16554;261
159;16778;224
160;17004;226
161;17203;199
162;17465;262
163;17695;230
164;17833;138
165;18004;171
166;18218;214
167;18462;244
168;18675;213
169;18954;279
170;19194;240
171;19436;242
172;19649;213
173;19929;280
174;20175;246
175;20322;147
176;20504;182
177;20732;228
178;20992;260
179;21219;227
180;21516;297
181;21772;256
182;22030;258
183;22257;227
184;22555;298
185;22817;262
186;22973;156
187;23166;193
188;23408;242
189;23684;276
190;23925;241
191;24240;315
192;24512;272
193;24786;274
194;25027;241
195;25343;316
196;25621;278
197;25786;165
198;25990;204
199;26246;256
200;26538;292
201;26793;255
202;27126;333
203;27414;288
204;27704;290
205;27959;255
206;28293;334
207;28587;294
208;28761;174
209;28976;215
210;29246;270
211;29554;308
212;29823;269
213;30174;351
214;30478;304
215;30784;306
216;31053;269
217;31405;352
218;31715;310
219;31898;183
220;32124;226
221;32408;284
222;32732;324
223;33015;283
224;33384;369
225;33704;320
226;34026;322
227;34309;283
228;34679;370
229;35005;326
230;35197;192
231;35434;237
232;35732;298
233;36072;340
234;36369;297
235;36756;387
236;37092;336
237;37430;338
238;37727;297
239;38115;388
240;38457;342
241;38658;201
242;38906;248
243;39218;312
244;39574;356
245;39885;311
246;40290;405
247;40642;352
248;40996;354
249;41307;311
250;41713;406
251;42071;358
252;42281;210
253;42540;259
254;42866;326
255;43238;372
256;43563;325
257;43986;423
258;44354;368
259;44724;370
260;45049;325
261;45473;424
262;45847;374
263;46066;219
264;46336;270
265;46676;340
266;47064;388
267;47403;339
268;47844;441
269;48228;384
270;48614;386
271;48953;339
272;49395;442
273;49785;390
274;50013;228
275;50294;281
276;50648;354
277;51052;404
278;51405;353
279;51864;459
280;52264;400
281;52666;402
282;53019;353
283;53479;460
284;53885;406
285;54122;237
286;54414;292
287;54782;368
288;55202;420
289;55569;367
290;56046;477
291;56462;416
292;56880;418
293;57247;367
294;57725;478
295;58147;422
296;58393;246
297;58696;303
298;59078;382
299;59514;436
300;59895;381
301;60390;495
302;60822;432
303;61256;434
304;61637;381
305;62133;496
306;62571;438
307;62826;255
308;63140;314
309;63536;396
310;63988;452
311;64383;395
312;64896;513
313;65344;448
314;65794;450
315;66189;395
316;66703;514
317;67157;454
318;67421;264
319;67746;325
320;68156;410
321;68624;468
322;69033;409
323;69564;531
324;70028;464
325;70494;466
326;70903;409
327;71435;532
328;71905;470
329;72178;273
330;72514;336
331;72938;424
332;73422;484
333;73845;423
334;74394;549
335;74874;480
336;75356;482
337;75779;423
338;76329;550
339;76815;486
340;77097;282
341;77444;347
342;77882;438
343;78382;500
344;78819;437
345;79386;567
346;79882;496
347;80380;498
348;80817;437
349;81385;568
350;81887;502
351;82178;291
352;82536;358
353;82988;452
354;83504;516
355;83955;451
356;84540;585
357;85052;512
358;85566;514
359;86017;451
360;86603;586
361;87121;518
362;87421;300
363;87790;369
364;88256;466
365;88788;532
366;89253;465
367;89856;603
368;90384;528
369;90914;530
370;91379;465
371;91983;604
372;92517;534
373;92826;309
374;93206;380
375;93686;480
376;94234;548
377;94713;479
378;95334;621
379;95878;544
380;96424;546
381;96903;479
382;97525;622
383;98075;550
384;98393;318
385;98784;391
